1,00000000	0,00000000
0,99258443	0,00014308
0,98036455	0,00061989
0,96346765	0,00157431
0,94206902	0,00314009
0,91638926	0,00542983
0,88668739	0,00849612
0,85325595	0,01233213
0,81641838	0,01689009
0,77652368	0,02206875
0,73393840	0,02768231
0,68905093	0,03351659
0,64226957	0,03933100
0,59402035	0,04485513
0,54475204	0,04984940
0,49493061	0,05408466
0,44503465	0,05732060
0,39555617	0,05934396
0,34699752	0,06000224
0,29986297	0,05929768
0,25463995	0,05737791
0,21178770	0,05444533
0,17174389	0,05059861
0,13491728	0,04596344
0,10168461	0,04068481
0,07240152	0,03485590
0,04741533	0,02851670
0,02705174	0,02177600
0,01169166	0,01471427
0,00240116	0,00689326
-0,00000000	0,00000000
0,00240116	-0,00689326
0,01169166	-0,01471427
0,02705174	-0,02177600
0,04741533	-0,02851670
0,07240152	-0,03485590
0,10168461	-0,04068481
0,13491728	-0,04596344
0,17174389	-0,05059861
0,21178770	-0,05444533
0,25463995	-0,05737791
0,29986297	-0,05929768
0,34699752	-0,06000224
0,39555617	-0,05934396
0,44503465	-0,05732060
0,49493061	-0,05408466
0,54475204	-0,04984940
0,59402035	-0,04485513
0,64226957	-0,03933100
0,68905093	-0,03351659
0,73393840	-0,02768231
0,77652368	-0,02206875
0,81641838	-0,01689009
0,85325595	-0,01233213
0,88668739	-0,00849612
0,91638926	-0,00542983
0,94206902	-0,00314009
0,96346765	-0,00157431
0,98036455	-0,00061989
0,99258443	-0,00014308
1,00000000	0,00000000

