time(s), awa_raw (rad), awa_filtered (rad), true heading (rad)
0,1.8675023317337,1.81921307778258,0.330302238464355
0.199978,1.8558241724856,1.82172450051943,0.329321384429932
0.400015,1.83409593797893,1.82270996573919,0.326754093170166
0.600022,1.84720869780202,1.82478157667134,0.328295230865479
0.8,1.85004901885986,1.82669061045587,0.327916622161865
0.999983,1.85004901885986,1.82847041149739,0.320632457733154
1.199971,1.85004901885986,1.83012776775884,0.314166069030762
1.399999,1.85004901885986,1.83163816143735,0.310696125030518
1.600007,1.83969489826248,1.83199376885572,0.307036399841309
1.799994,1.82058160585346,1.83083829680251,0.309229373931885
1.999978,1.79934573148657,1.8284595406161,0.31676721572876
2.199954,1.81246364425011,1.82744906131422,0.321866512298584
2.399984,1.8255794506261,1.82756288833706,0.32444953918457
2.599987,1.84478756753343,1.82916536894491,0.327521800994873
2.799975,1.86574925326439,1.83193363659726,0.33223295211792
2.99996,1.85264163754354,1.83330788204198,0.337358474731445
3.199938,1.83953147168262,1.83352039196456,0.34031343460083
3.399967,1.8387740588169,1.83406782143552,0.340445041656494
3.599981,1.85188657198841,1.83547887089476,0.339803695678711
3.799962,1.86499712577912,1.83790971706106,0.338316917419434
3.999946,1.84629553701987,1.83802309140808,0.340603351593018
4.199923,1.8075598190097,1.83510789940917,0.34748649597168
4.399961,1.75702264149772,1.82898324637713,0.354860782623291
4.599962,1.71768536301462,1.81999254142095,0.360296726226807
4.799941,1.71042275428772,1.81173274630293,0.361794471740723
4.999926,1.69773158086941,1.80276613393142,0.361186027526855
5.199911,1.66751452722564,1.79222696675578,0.360893726348877
5.399942,1.61505751645868,1.77811035471561,0.365949630737305
5.59995,1.5949292273544,1.76407716142641,0.363130569458008
5.799936,1.58181960172423,1.75010833058992,0.355569839477539
5.999923,1.57079637050629,1.73640485564334,0.34694242477417
6.199897,1.57079637050629,1.72385773064419,0.337154388427734
6.39993,1.57079637050629,1.71233635057308,0.331151962280273
6.599939,1.58382741518799,1.7028843283402,0.325669288635254
6.799918,1.61439329385198,1.69630404540256,0.320263385772705
6.999894,1.66682189832478,1.69472332547242,0.312417030334473
7.199878,1.71926426482974,1.69764796695174,0.307934284210205
7.399918,1.76512433227864,1.70325275205747,0.307010173797607
7.599924,1.79768919944763,1.71049099475518,0.302774906158447
7.799903,1.79768919944763,1.71712057451171,0.296406745910645
7.999886,1.77564360635865,1.72099174214954,0.290629863739014
8.199872,1.74274543939989,1.72216744357985,0.2851243019104
8.999797,1.73747103910777,1.72530550053268,0.292487144470215
9.199857,1.78266049869238,1.7272952509872,0.288189888000488
9.399845,1.79577210240151,1.73265477759261,0.281173229217529
9.59982,1.79768919944763,1.73755515551826,0.275138854980469
9.799807,1.79768919944763,1.74212650024738,0.275111675262451
9.999784,1.79768919944763,1.74638498223987,0.281160354614258
10.199893,1.79768919944763,1.750293407309,0.281641483306885
10.399879,1.80896158451536,1.75499476656096,0.278719902038574
10.599855,1.84287490534042,1.76233300886464,0.280797004699707
10.79984,1.88495564460754,1.77171614775625,0.291451454162598
10.999817,1.88495564460754,1.780336440478,0.300826549530029
11.199874,1.83951052476693,1.78368036538717,0.306660175323486
11.399914,1.7940747488396,1.78396668582143,0.30687141418457
11.599838,1.75475639351689,1.78154112635576,0.313727855682373
11.799825,1.71543324262464,1.77612027817425,0.320065498352051
11.999809,1.72186349686815,1.77231330390822,0.32478141784668
12.199871,1.73497957858849,1.76964409761585,0.326567649841309
12.399902,1.75085761729846,1.76833285034373,0.333774566650391
12.599825,1.77707249861109,1.76924117629214,0.345983505249023
12.799821,1.78023588657379,1.77006967968439,0.35621452331543
12.999796,1.78023588657379,1.77084242683852,0.364547252655029
