time(s), awa_raw (rad), awa_filtered (rad), true heading (rad)
0,0.640907736004333,0.646271560968334,1.45355033874512
0.199978,0.628318548202515,0.644889835127914,1.45658779144287
0.399965,0.628318548202515,0.643641631766229,1.45289325714111
0.59996,0.609744563662161,0.640624833852489,1.46319580078125
0.800052,0.593411982059479,0.63701930338221,1.46645975112915
0.999985,0.593411982059479,0.63366521367095,1.458411693573
1.19997,0.593411982059479,0.630632238903889,1.44710206985474
1.399977,0.640270229009413,0.632499857036353,1.44218826293945
1.599935,0.700789510289413,0.638182412097461,1.44094228744507
1.800036,0.751184344331989,0.646883232079256,1.44816398620605
1.99997,0.764292362930482,0.655995372487079,1.45218706130981
2.199953,0.767944872379303,0.664453731690879,1.45105266571045
2.39993,0.767944872379303,0.672340541083842,1.44819259643555
2.599918,0.767944872379303,0.679686921776955,1.45247459411621
2.80002,0.767944872379303,0.686344066253625,1.46158933639526
2.999962,0.758402173201678,0.691560048094356,1.46709203720093
3.199938,0.745293019351775,0.695535270416423,1.4803991317749
3.399916,0.733891550172986,0.698504219047152,1.48771572113037
3.599911,0.747002923290476,0.702427553090097,1.49562168121338
3.80001,0.750491619110107,0.706065014456848,1.504319190979
3.999934,0.745208426489328,0.708924839177454,1.51224803924561
4.19996,0.732094428664086,0.710685199490222,1.5110559463501
4.399904,0.718989598631989,0.711055095581671,1.51617240905762
4.599891,0.715584993362427,0.711397769312216,1.520179271698
4.799993,0.704842211859654,0.710643153679963,1.51960563659668
4.999928,0.679653018625367,0.708237286913399,1.51691722869873
5.199914,0.666545485030961,0.704837703843701,1.5156626701355
5.39989,0.673014636356716,0.702669894665593,1.51707363128662
5.599877,0.686125945596474,0.701537252900885,1.52446603775024
5.799977,0.698131740093231,0.701275263472642,1.53356218338013
5.999911,0.698131740093231,0.701037661266539,1.53211402893066
6.199898,0.688256222736599,0.699830417748972,1.53436136245728
6.399874,0.686209315239022,0.698923201053534,1.53616952896118
6.599861,0.700508627980519,0.699100101791236,1.54105138778687
6.799962,0.726746706158602,0.701668222856463,1.55148696899414
6.999906,0.743000707704704,0.705034984760083,1.5532374382019
7.199883,0.744873666894205,0.707938153652984,1.55103540420532
7.399859,0.731766278016734,0.709739574956247,1.54839849472046
7.599845,0.718654854683497,0.710181927285113,1.54682588577271
7.799954,0.705535892311178,0.709585664628962,1.55122518539429
7.999889,0.709538973240294,0.709853344564817,1.55652189254761
8.199867,0.733038306236267,0.711634972521166,1.56273746490479
8.39985,0.733038306236267,0.713254891438452,1.56402254104614
8.599837,0.722913161033318,0.713737528500032,1.5542688369751
8.799939,0.715584993362427,0.713878419159627,1.5560736656189
8.999872,0.717030061059689,0.714154047190929,1.55901527404785
9.199849,0.73014050035265,0.715584365501998,1.56110000610352
9.399835,0.722827269060502,0.715882033049562,1.56528425216675
9.599821,0.709717920592877,0.715272679218318,1.56669473648071
9.799922,0.701195962383427,0.714261619268369,1.56160879135132
9.999855,0.727410731538141,0.715684181503202,1.55840730667114
10.199842,0.733038306236267,0.716995129032265,1.56167411804199
10.399817,0.733038306236267,0.718217418243189,1.56576156616211
10.599804,0.733038306236267,0.719355886183397,1.56865406036377
10.799904,0.733038306236267,0.720393871886685,1.56726503372192
10.999838,0.722656998354229,0.72031066622104,1.5678858757019
11.199823,0.703510461791104,0.718743371825707,1.56195163726807
11.3998,0.680678427219391,0.715820987097806,1.55970764160156
11.599787,0.680678427219391,0.713155531206611,1.55944681167603
11.799887,0.680678427219391,0.710701416987751,1.56842517852783
11.99983,0.680678427219391,0.708415001895545,1.58185744285583
12.199806,0.686019217462571,0.706819440759785,1.59499704837799
12.399784,0.72534034813228,0.708808572752693,1.59492778778076
12.599778,0.754127654436889,0.712745873551148,1.58790576457977
12.79984,0.767944872379303,0.716950220087759,1.58199751377106
12.999807,0.76421637945484,0.720491361912277,1.57918500900269
13.199793,0.737994464066193,0.721444032785169,1.57700943946838
13.399778,0.711777311803832,0.720193246564775,1.58243203163147
13.599765,0.691844978400036,0.717884919456615,1.5795773267746
13.800033,0.680678427219391,0.715025395963979,1.57812142372131
13.9998,0.680678427219391,0.712419133179033,1.57141542434692
14.199786,0.669963711563247,0.708952742836708,1.5674934387207
14.399763,0.663225114345551,0.705472317333109,1.56475400924683
14.599739,0.665252378317227,0.702433003827267,1.56685543060303
14.799808,0.678369440364034,0.700778925603796,1.56576299667358
14.999783,0.691479568610592,0.700341974033729,1.56041479110718
15.19977,0.704588817213948,0.70081946468927,1.55480146408081
15.399748,0.717696563022836,0.702163575895561,1.54286575317383
15.599732,0.730808002988284,0.704511078033139,1.53580379486084
15.79979,0.733038306236267,0.706664539263365,1.52533102035522
15.999764,0.739580708876571,0.709325813389143,1.51769971847534
16.19975,0.752691463614363,0.712703834982428,1.51444292068481
16.399729,0.765798444430612,0.716903660129976,1.51133298873901
16.599725,0.778909541518403,0.721848876020905,1.51358604431152
16.799784,0.785398185253143,0.726684710562042,1.50524950027466
16.999752,0.787682317689879,0.731415337609535,1.49086618423462
17.199737,0.800793084469264,0.736849275600478,1.47178316116333
17.399724,0.791801089284634,0.740721360640552,1.46144485473633
17.599711,0.785398185253143,0.744119860991837,1.45644617080688
17.799811,0.790141692673213,0.747761238481262,1.46290493011475
17.999735,0.816354887914793,0.753280358571986,1.46766185760498
18.19973,0.831439167044327,0.75944373148236,1.46318387985229
18.399708,0.844548286378792,0.766073994163402,1.4518404006958
18.599686,0.85521137714386,0.772903774364375,1.43950510025024
18.799793,0.85521137714386,0.779173347971315,1.43635034561157
