1,00000000	0,00000000
0,96740000	0,00990000
0,92570000	0,02180000
0,88170000	0,03300000
0,83320000	0,04490000
0,77790000	0,05770000
0,68160000	0,07710000
0,63990000	0,08450000
0,59590000	0,09070000
0,54210000	0,09640000
0,48670000	0,10100000
0,43590000	0,10510000
0,37830000	0,10760000
0,32830000	0,10840000
0,29190000	0,10840000
0,24110000	0,10800000
0,19710000	0,10630000
0,15310000	0,10300000
0,11220000	0,09520000
0,07280000	0,08240000
0,04930000	0,07010000
0,02730000	0,05440000
0,01290000	0,03830000
0,00380000	0,02100000
0,00080000	0,01070000
0,00000000	0,00000000
0,00080000	-0,01070000
0,00380000	-0,02100000
0,01290000	-0,03830000
0,02730000	-0,05440000
0,04930000	-0,07010000
0,07280000	-0,08240000
0,11220000	-0,09520000
0,15310000	-0,10300000
0,19710000	-0,10630000
0,24110000	-0,10800000
0,29190000	-0,10840000
0,32830000	-0,10840000
0,37830000	-0,10760000
0,43590000	-0,10510000
0,48670000	-0,10100000
0,54210000	-0,09640000
0,59590000	-0,09070000
0,63990000	-0,08450000
0,68160000	-0,07710000
0,77790000	-0,05770000
0,83320000	-0,04490000
0,88170000	-0,03300000
0,92570000	-0,02180000
0,96740000	-0,00990000
1,00000000	0,00000000

